match,home_team,away_team,kickoff_utc,kickoff_swe,bookmaker,home_odds,draw_odds,away_odds,spread_team,spread_point,spread_odds,total_line,over_odds,under_odds,last_update
Qatar vs Switzerland,Qatar,Switzerland,2026-06-13 19:00,2026-06-13 21:00,atg_se,17.0,7.5,1.21,,,,,,,2026-06-13T17:49:21Z
Qatar vs Switzerland,Qatar,Switzerland,2026-06-13 19:00,2026-06-13 21:00,pinnacle,15.0,7.5,1.22,Qatar,1.75,2.1,2.75,1.84,2.08,2026-06-13T17:49:08Z
Qatar vs Switzerland,Qatar,Switzerland,2026-06-13 19:00,2026-06-13 21:00,pinnacle,15.0,7.5,1.22,Switzerland,-1.75,1.84,2.75,1.84,2.08,2026-06-13T17:49:08Z
Qatar vs Switzerland,Qatar,Switzerland,2026-06-13 19:00,2026-06-13 21:00,betfair_ex_eu,17.5,7.8,1.22,,,,,,,2026-06-13T17:49:47Z
Qatar vs Switzerland,Qatar,Switzerland,2026-06-13 19:00,2026-06-13 21:00,betsson,16.5,6.9,1.2,,,,2.5,1.65,2.28,2026-06-13T17:49:07Z
Brazil vs Morocco,Brazil,Morocco,2026-06-13 22:00,2026-06-14 00:00,pinnacle,1.71,3.79,5.72,Brazil,-0.75,1.93,2.25,1.97,1.93,2026-06-13T17:49:08Z
Brazil vs Morocco,Brazil,Morocco,2026-06-13 22:00,2026-06-14 00:00,pinnacle,1.71,3.79,5.72,Morocco,0.75,2.01,2.25,1.97,1.93,2026-06-13T17:49:08Z
Brazil vs Morocco,Brazil,Morocco,2026-06-13 22:00,2026-06-14 00:00,betfair_ex_eu,1.72,3.95,5.9,,,,,,,2026-06-13T17:49:47Z
Brazil vs Morocco,Brazil,Morocco,2026-06-13 22:00,2026-06-14 00:00,atg_se,1.66,3.9,6.0,,,,,,,2026-06-13T17:49:21Z
Brazil vs Morocco,Brazil,Morocco,2026-06-13 22:00,2026-06-14 00:00,betsson,1.7,3.7,5.55,,,,2.5,2.25,1.65,2026-06-13T17:49:07Z
Haiti vs Scotland,Haiti,Scotland,2026-06-14 01:00,2026-06-14 03:00,pinnacle,6.0,4.65,1.56,Haiti,1.0,2.03,3.0,2.09,1.83,2026-06-13T17:49:09Z
Haiti vs Scotland,Haiti,Scotland,2026-06-14 01:00,2026-06-14 03:00,pinnacle,6.0,4.65,1.56,Scotland,-1.0,1.91,3.0,2.09,1.83,2026-06-13T17:49:09Z
Haiti vs Scotland,Haiti,Scotland,2026-06-14 01:00,2026-06-14 03:00,betfair_ex_eu,6.2,4.8,1.57,,,,,,,2026-06-13T17:49:47Z
Haiti vs Scotland,Haiti,Scotland,2026-06-14 01:00,2026-06-14 03:00,atg_se,6.25,4.7,1.54,,,,,,,2026-06-13T17:49:21Z
Haiti vs Scotland,Haiti,Scotland,2026-06-14 01:00,2026-06-14 03:00,betsson,5.95,4.45,1.55,,,,2.5,1.62,2.32,2026-06-13T17:49:07Z
Australia vs Turkey,Australia,Turkey,2026-06-14 04:00,2026-06-14 06:00,betfair_ex_eu,5.7,3.95,1.74,,,,,,,2026-06-13T17:49:47Z
Australia vs Turkey,Australia,Turkey,2026-06-14 04:00,2026-06-14 06:00,atg_se,5.6,3.85,1.7,,,,,,,2026-06-13T17:49:21Z
Australia vs Turkey,Australia,Turkey,2026-06-14 04:00,2026-06-14 06:00,pinnacle,5.43,3.87,1.72,Australia,0.75,2.0,2.5,2.08,1.84,2026-06-13T17:49:08Z
Australia vs Turkey,Australia,Turkey,2026-06-14 04:00,2026-06-14 06:00,pinnacle,5.43,3.87,1.72,Turkey,-0.75,1.93,2.5,2.08,1.84,2026-06-13T17:49:08Z
Australia vs Turkey,Australia,Turkey,2026-06-14 04:00,2026-06-14 06:00,betsson,5.35,3.7,1.72,,,,2.5,2.02,1.82,2026-06-13T17:49:07Z
Germany vs Curaçao,Germany,Curaçao,2026-06-14 17:00,2026-06-14 19:00,pinnacle,1.04,21.0,41.0,Curaçao,3.5,1.86,4.25,1.9,1.93,2026-06-13T17:49:08Z
Germany vs Curaçao,Germany,Curaçao,2026-06-14 17:00,2026-06-14 19:00,pinnacle,1.04,21.0,41.0,Germany,-3.5,2.0,4.25,1.9,1.93,2026-06-13T17:49:08Z
Germany vs Curaçao,Germany,Curaçao,2026-06-14 17:00,2026-06-14 19:00,betfair_ex_eu,1.06,25.0,46.0,,,,,,,2026-06-13T17:49:47Z
Germany vs Curaçao,Germany,Curaçao,2026-06-14 17:00,2026-06-14 19:00,atg_se,1.05,23.0,46.0,,,,,,,2026-06-13T17:49:21Z
Germany vs Curaçao,Germany,Curaçao,2026-06-14 17:00,2026-06-14 19:00,betsson,1.04,17.0,90.0,,,,2.5,1.19,4.9,2026-06-13T17:49:07Z
